product,category,title,question,answer,source_type,keywords,status
Beryla Minyak Telon,mother_baby,Apa itu Beryla Minyak Telon?,Apa itu Beryla Minyak Telon?,"Minyak telon yang membantu memberikan rasa hangat dan nyaman pada tubuh bayi.",official,minyak telon;bayi,active
Beryla Minyak Telon,mother_baby,Cara penggunaan,Bagaimana cara memakai Minyak Telon?,"Oleskan secukupnya pada dada, perut, punggung, dan telapak kaki bayi setelah mandi atau saat diperlukan.",official,cara pakai;hangat,active
Beryla Virgin Olive Oil,mother_baby,Apa itu Virgin Olive Oil?,Apa manfaat Beryla Virgin Olive Oil?,"Virgin Olive Oil membantu menjaga kelembapan kulit ibu maupun bayi sehingga kulit terasa lebih lembut.",official,olive oil;voo;kulit,active
Beryla Coconut Oil,mother_baby,Apa itu Coconut Oil?,Apa manfaat Beryla Coconut Oil?,"Virgin Coconut Oil membantu menjaga kelembapan kulit dan membantu merawat kulit kering.",official,vco;coconut oil;kulit,active
Beryla Mom Stretch Mark Oil,mother_baby,Apa itu Mom Stretch Mark Oil?,Apa manfaat Beryla Mom Stretch Mark Oil?,"Produk perawatan kulit ibu yang membantu menjaga kelembapan dan elastisitas kulit selama masa kehamilan maupun setelah melahirkan.",official,stretch mark;ibu hamil;mom oil,active
Semua Produk,general,Legalitas,Apakah produk Naturalva memiliki izin BPOM?,"Setiap produk memiliki status legalitas masing-masing. Pengguna dapat melihat nomor BPOM yang tercantum pada kemasan atau halaman resmi produk apabila tersedia.",official,bpom;izin;legal,active
Semua Produk,general,Halal,Apakah produk sudah halal?,"Silakan mengacu pada informasi yang tercantum pada kemasan atau situs resmi untuk status sertifikasi halal masing-masing produk.",official,halal;sertifikat,active
Semua Produk,general,Penyimpanan,Bagaimana cara menyimpan produk?,"Simpan produk di tempat yang sejuk, kering, terhindar dari sinar matahari langsung, dan jauh dari jangkauan anak-anak kecuali terdapat petunjuk lain pada kemasan.",knowledge,penyimpanan;storage,active
Semua Produk,general,Alergi,Apa yang harus dilakukan jika terjadi alergi?,"Hentikan penggunaan apabila muncul tanda-tanda alergi seperti ruam, gatal, atau sesak napas, kemudian segera konsultasikan dengan tenaga kesehatan.",medical,alergi;ruam;gatal,active
Semua Produk,general,Konsultasi Dokter,Kapan harus ke dokter?,"Apabila keluhan berlangsung lama, semakin berat, disertai muntah darah, BAB hitam, penurunan berat badan tanpa sebab yang jelas, demam tinggi, atau nyeri hebat, segera periksakan diri ke dokter.",medical,red flag;dokter;darurat,active
