product,category,title,question,answer,source_type,keywords,status
,Panduan Konsultasi,Cara kerja konsultasi herbal berbasis AI,Bagaimana sistem konsultasi ini menjawab pertanyaan pengguna?,"Sistem akan mencari konteks dari knowledge base dan data produk yang relevan, lalu menyusun jawaban AI berdasarkan konteks tersebut. Jika konteks tidak cukup, pertanyaan akan disimpan sebagai unanswered question untuk ditinjau AI Trainer.",sop,"rag, knowledge base, unanswered question, ai trainer",published
,Konsultasi,Kapan harus berkonsultasi ke dokter?,Kapan harus berkonsultasi ke dokter?,"Segera konsultasikan apabila gejala tidak membaik, memburuk, atau disertai kondisi yang mengkhawatirkan.",article,dokter,published
,Kontraindikasi,Kapan konsultasi medis diperlukan,Kapan pengguna harus mencari bantuan tenaga kesehatan?,"Jika keluhan terasa berat, memburuk, berulang, atau disertai gejala lain yang mengganggu aktivitas, pengguna perlu berkonsultasi dengan tenaga kesehatan dan tidak hanya mengandalkan informasi herbal.",sop,"konsultasi medis, keluhan berat, gejala berulang, tenaga kesehatan",published
,FAQ,Kapan produk herbal sebaiknya dikonsumsi,Kapan waktu terbaik mengonsumsi produk herbal?,"Waktu konsumsi mengikuti aturan pakai pada masing-masing produk. Secara umum, produk herbal dikonsumsi sesuai anjuran kemasan dan perlu memperhatikan kondisi tubuh pengguna.",faq,"waktu konsumsi, aturan pakai, penggunaan produk",published
,Kontraindikasi,Kehati-hatian penggunaan produk herbal,Siapa yang perlu berhati-hati saat menggunakan produk herbal?,"Pengguna dengan kondisi khusus seperti ibu hamil, ibu menyusui, penderita penyakit tertentu, atau pengguna obat rutin perlu berhati-hati dan sebaiknya melakukan konsultasi lebih lanjut sebelum menggunakan produk herbal.",faq,"kontraindikasi, kehati-hatian, ibu hamil, obat rutin",published
,Manfaat Produk,Manfaat Herba Imuno Plus,Apa manfaat Herba Imuno Plus?,"Herba Imuno Plus membantu menjaga daya tahan tubuh, kebugaran, dan stamina harian.",product,"manfaat herba imuno plus, imun, stamina, daya tahan tubuh",published
,Manfaat Produk,Manfaat Herba Lambung Sehat,Apa manfaat Herba Lambung Sehat?,"Herba Lambung Sehat membantu mengurangi rasa tidak nyaman pada lambung, mual ringan, dan sensasi perih setelah makan.",product,"manfaat herba lambung sehat, lambung, mual, perih",published
,Manfaat Produk,Manfaat Herba Lega Nafas,Apa manfaat Herba Lega Nafas?,Herba Lega Nafas membantu menjaga kenyamanan tenggorokan dan mendukung tubuh terasa lebih lega saat ada ketidaknyamanan ringan pada pernapasan.,product,"manfaat herba lega nafas, tenggorokan, napas, pernapasan",published
,Manfaat Produk,Manfaat Herba Pencernaan Nyaman,Apa manfaat Herba Pencernaan Nyaman?,"Herba Pencernaan Nyaman membantu menjaga kenyamanan perut saat terasa kembung, penuh, atau begah setelah pola makan tidak teratur.",product,"manfaat herba pencernaan nyaman, kembung, begah, pencernaan",published
,Panduan Konsultasi,Panduan menulis pertanyaan konsultasi,Bagaimana cara menulis pertanyaan agar jawaban lebih relevan?,"Pengguna dianjurkan menuliskan keluhan atau kebutuhan secara singkat dan jelas, misalnya menyebut kondisi yang dirasakan, tujuan penggunaan, serta produk yang ingin ditanyakan bila ada.",sop,"cara bertanya, prompt, konsultasi, pertanyaan relevan",published
